Name,Data Sentences,Total Sentences,Data Sentence Proportion,Readability Score,Long Sentences,Vague Sentences,Long or Vague Sentences,Long or Vague Sentence Proportion
Pinterest,,,,,,,,
Mastodon,,,,,,,,
LinkedIn,,,,,,,,
Vero,,,,,,,,
MeWe,,,,,,,,
Minds,,,,,,,,
Glass,,,,,,,,
WT Social,,,,,,,,
Polywork,,,,,,,,
Session,,,,,,,,
Threema,,,,,,,,
Wire,,,,,,,,
Element,,,,,,,,
Jami,,,,,,,,
Tox,,,,,,,,
ProtonMail,,,,,,,,
Spotify,,,,,,,,
Netflix,,,,,,,,
Pocket Casts,,,,,,,,
Plex,,,,,,,,
Libby,,,,,,,,
Tubi,,,,,,,,
Kanopy,,,,,,,,
VLC Media Player,,,,,,,,
SoundCloud,,,,,,,,
NPR One,,,,,,,,
Notion,,,,,,,,
Obsidian,,,,,,,,
Microsoft Teams,,,,,,,,
Zoom,,,,,,,,
Google Docs,,,,,,,,
Proton Drive,,,,,,,,
Todoist,,,,,,,,
Joplin,,,,,,,,
Standard Notes,,,,,,,,
Coursera,,,,,,,,
DuckDuckGo,,,,,,,,
Brave Browser,,,,,,,,
Firefox,,,,,,,,
Bitwarden,,,,,,,,
1Password,,,,,,,,
Signal Private Messenger,,,,,,,,
Proton Calendar,,,,,,,,
Skiff Pages,,,,,,,,
Ecosia,,,,,,,,
PayPal,,,,,,,,
